cloned package | clone package
0x@4.5.0 @nearform~0x@4.4.5
apollo-server-plugin-base@0.300.0-lambda.0 @landingexp~apollo-server-plugin-base@1.0.3
apollo-server-plugin-base@0.9.1 @jdmoody~apollo-server-plugin-base@0.6.6
apollo-server-plugin-response-cache@0.9.0 @landingexp~apollo-server-plugin-response-cache@1.0.3
apollo-server-plugin-response-cache@0.9.0 @matters~apollo-server-plugin-response-cache@0.3.6
apollo-server-testing@2.24.1 @landingexp~apollo-server-testing@3.0.4
apollo-server-types@0.8.0-alpha.2 @landingexp~apollo-server-types@1.0.3
apollo-tracing@0.15.0 @landingexp~apollo-tracing@1.0.3
apollo-upload-client@12.1.0 @hex-inc~apollo-upload-client@13.0.0-rc.1
apollo-upload-client@12.1.0 @ivopatty~apollo-upload-client@12.1.0
apollo-upload-client@13.0.0 @conjecto~apollo-upload-client@13.0.0
apollo-upload-client@14.0.0 @yoshokatana~apollo-upload-client@13.0.0
apollo-upload-client@7.0.0-alpha.1 @novistore~apollo-upload-client@7.0.0-alpha.6
apollo-upload-client@8.0.0 @allsquare~apollo-upload-client@8.0.2
apollo-upload-client@8.0.0 @richeterre~apollo-upload-client@8.0.0
apollo-upload-client@8.1.0 @dmarkow~apollo-upload-client@7.0.0-alpha.6
apollo-upload-client@9.1.0 @matters~apollo-upload-client@11.1.0
app-builder-lib@21.2.0 @tom-james-watson~app-builder-lib@21.3.0
app-builder-lib@22.2.0 @splayer~app-builder-lib@22.2.0
app-builder-lib@22.7.0 @adam-lynch~app-builder-lib@22.8.0-3
app-builder-lib@22.9.0 @sidneys~app-builder-lib@22.8.3
appcenter-cli@2.6.4 @mattoakes~appcenter-cli@2.6.3
appcenter-crashes@1.13.0 @berickson1~appcenter-crashes@1.9.0-alpha.3
appdmg@0.6.0 @alexpelan~appdmg@0.6.1
appium@1.16.0-beta.1 @londoner~appium@1.16.0-alpha.5
appium@1.9.2-beta.2 @magic-pod~appium@1.9.2-beta2.16
appium-base-driver@4.1.0 @londoner~appium-base-driver@4.1.1
applause@1.2.2 @forks_master~applause@1.2.4
applicationinsights-js@0.23.1 @types~applicationinsights-js@1.0.9
archiver@5.0.2 @mallzee~archiver@1.0.2
array-find@0.1.0 @skt-t1-byungi~array-find@0.2.0
artillery@1.6.0-19 @capaj~artillery@1.6.0-19
art-template@4.13.2 @zhengkenghong~art-template@4.13.2
asar@0.12.3 @develar~asar@0.13.1
asar@0.14.2 @ryverapp~asar@0.14.0
asar@0.14.5 @gizeta~asar@0.14.5-patch.1
asar@3.0.3 @mallowigi~asar@1.0.0
asn1js@2.0.21 @fortanix~asn1js@2.0.27
asn1js@2.0.21 @qiwitech~asn1js@2.0.23
asn1js@2.0.25 @penneo~asn1js@2.0.23
assets-webpack-plugin@3.5.1 @zmb-gmbh~assets-webpack-plugin@3.5.1
assets-webpack-plugin@3.9.12 @myglam~assets-webpack-plugin@3.10.0
assign@0.0.2 @novacms~assign@1.0.0
ast-types@0.13.2 @jgoz~ast-types@0.13.2
ast-types@0.13.2 @motiz88~ast-types@0.13.3
astw@2.2.0 @zdychacek~astw@3.0.2
async-cache@1.1.0 @transit~async-cache@1.2.0
async-listener@0.5.7 @risingstack~async-listener@1.0.1
async-validator@1.3.2 @jotamusik~async-validator@1.0.2
auth0@2.17.1 @mmoriarity~auth0@2.17.1
auth0-lock@10.16.0 @expo~auth0-lock@10.16.0
auth0-lock@11.16.0 @seikho~auth0-lock@11.16.1
auth0-lock@11.27.0 @httptoolkit~auth0-lock@11.26.3
autod-egg@1.1.0 @zcong~autod-egg@1.1.0
autodll-webpack-plugin@0.3.9 @audentio~autodll-webpack-plugin@0.4.2
autodll-webpack-plugin@0.4.2 @blue080~autodll-webpack-plugin@0.4.2
autodll-webpack-plugin@0.4.2 @jarzzzi~autodll-webpack-plugin@0.4.2
autolinker@1.7.1 @closeio~autolinker@1.6.0
autolinker@3.14.2 @stargazefi~autolinker@3.14.3
autonumeric@4.6.0 @zeedhi~autonumeric@4.6.0
autorest@3.0.6187 @autorest~autorest@3.0.6187
autosuggest-highlight@3.1.1 @vrtx~autosuggest-highlight@3.1.1
ava@0.19.1 @morlay~ava@0.19.3
avatax@20.9.0 @streamkast~avatax@20.9.2
awesome-typescript-loader@5.1.0 @timkang~awesome-typescript-loader@5.1.0
awesome-typescript-loader@5.2.1 @iainwilson~awesome-typescript-loader@5.2.1
awilix@4.2.2 @khajvah~awilix@4.3.2
awilix@4.2.2 @shahen.poghosyan~awilix@4.2.5
aws4-axios@2.0.1 @cgutierrezpa~aws4-axios@1.12.2
aws-amplify@1.1.20-unstable.6 @moixa-energy~aws-amplify@1.1.20-unstable.7
aws-appsync@1.1.2 @intellihr~aws-appsync@1.1.2
aws-appsync@1.7.3-multi-client.5 @snapstrat~aws-appsync@1.7.2
aws-appsync@2.0.0 @kevinsperrine~aws-appsync@2.0.1
aws-appsync@2.0.0 @raydeck~aws-appsync@1.8.2
aws-appsync-auth-link@2.0.2 @mgustmann~aws-appsync-auth-link@3.0.1
aws-appsync-auth-link@3.0.4 @jpyne~aws-appsync-auth-link@3.0.2
aws-appsync-auth-link@3.0.4 @lukeramsden~aws-appsync-auth-link@3.0.0
aws-appsync-subscription-link@3.0.2 @jpyne~aws-appsync-subscription-link@3.0.2
aws-appsync-subscription-link@3.0.2 @lukeramsden~aws-appsync-subscription-link@3.0.0
aws-cdk@1.8.0 @stephankaag~aws-cdk@1.8.1
aws-cloudfront-sign@2.2.0 @a1motion~aws-cloudfront-sign@2.3.0
aws-serverless-express@3.1.0 @techfirst~aws-serverless-express@0.1.2
aws-serverless-express@3.1.0 @y13i~aws-serverless-express@3.1.0
aws-serverless-express@3.3.8 @ev_connor_robertson~aws-serverless-express@3.3.9
aws-serverless-express@3.3.8 @nya~aws-serverless-express@3.4.0
aws-xray-sdk@1.2.0 @fredstrange~aws-xray-sdk@1.2.4
aws-xray-sdk@2.2.0-experimental.1 @wmp-sbd~aws-xray-sdk@2.2.9
aws-xray-sdk-core@1.2.0 @fredstrange~aws-xray-sdk-core@1.2.4
aws-xray-sdk-core@2.2.0 @wmp-sbd~aws-xray-sdk-core@2.2.3
aws-xray-sdk-express@1.2.0 @fredstrange~aws-xray-sdk-express@1.2.4
aws-xray-sdk-express@2.2.0-experimental.1 @wmp-sbd~aws-xray-sdk-express@2.2.4
aws-xray-sdk-mysql@2.3.3-experimental.3 @fredstrange~aws-xray-sdk-mysql@1.2.4
aws-xray-sdk-mysql@2.3.3-experimental.3 @wmp-sbd~aws-xray-sdk-mysql@2.2.4
aws-xray-sdk-postgres@2.3.3-experimental.3 @fredstrange~aws-xray-sdk-postgres@1.2.4
aws-xray-sdk-postgres@2.3.3-experimental.3 @wmp-sbd~aws-xray-sdk-postgres@2.2.3
axios@0.17.1 @contentful~axios@0.18.0
axios-cookiejar-support@0.3.5 @robotsandpencils~axios-cookiejar-support@0.3.5
axios-cookiejar-support@1.0.0 @jamliu~axios-cookiejar-support@0.5.2
axios-cookiejar-support@1.0.0 @suthaw~axios-cookiejar-support@1.0.0
axios-cookiejar-support@1.0.1 @non-hacker~axios-cookiejar-support@1.0.1
axios-mock-adapter@1.17.0 @nodefactory~axios-mock-adapter@1.17.1
axios-mock-adapter@1.18.2 @slightlytyler~axios-mock-adapter@2.0.1
axios-retry@3.1.2 @wetransfer~axios-retry@3.1.4
axios-retry@3.1.7 @aevaldas~axios-retry@3.1.3
azure-devops-node-api@10.1.1 @xiaoxu_dev~azure-devops-node-api@10.1.9
azure-kusto-data@0.3.8 @keebler~azure-kusto-data@0.3.9
babar@0.1.0 @cubelets~babar@0.0.4
babel-cli@6.24.1 @jacksonrayhamilton~babel-cli@6.26.0-414f3c731
babel-code-frame@7.0.0-beta.3 @gerhobbelt~babel-code-frame@7.2.1-26
babel-generator@6.5.0-1 @divmain~babel-generator@6.6.0-0
babel-helper-bindify-decorators@6.0.2 @gerhobbelt~babel-helper-bindify-decorators@7.2.1-26
babel-helper-builder-binary-assignment-operator-visitor@6.0.2 @gerhobbelt~babel-helper-builder-binary-assignment-operator-visitor@7.2.1-26
babel-helper-builder-react-jsx@6.0.2 @gerhobbelt~babel-helper-builder-react-jsx@7.2.1-26
babel-helper-call-delegate@7.0.0-beta.3 @gerhobbelt~babel-helper-call-delegate@7.2.1-26
babel-helper-define-map@6.0.2 @gerhobbelt~babel-helper-define-map@7.2.1-26
babel-helper-explode-assignable-expression@6.0.2 @gerhobbelt~babel-helper-explode-assignable-expression@7.2.1-26
babel-helper-explode-class@6.0.2 @gerhobbelt~babel-helper-explode-class@7.2.1-26
babel-helper-function-name@6.0.2 @gerhobbelt~babel-helper-function-name@7.2.1-26
babel-helper-get-function-arity@6.0.2 @gerhobbelt~babel-helper-get-function-arity@7.2.1-26
babel-helper-hoist-variables@6.0.2 @gerhobbelt~babel-helper-hoist-variables@7.2.1-26
babel-helper-optimise-call-expression@6.0.2 @gerhobbelt~babel-helper-optimise-call-expression@7.2.1-26
babel-helper-regex@6.0.2 @gerhobbelt~babel-helper-regex@7.2.1-26
babel-helper-remap-async-to-generator@6.0.2 @gerhobbelt~babel-helper-remap-async-to-generator@7.2.1-26
babel-helper-replace-supers@6.0.2 @gerhobbelt~babel-helper-replace-supers@7.2.1-26
babel-helpers@6.0.2 @gerhobbelt~babel-helpers@7.2.1-26
babelify@10.0.0-beta.0 @ladjs~babelify@8.0.1
babel-loader@7.0.0-beta.1 @egoistian~babel-loader@7.0.0
babel-loader@7.0.0-beta.1 @ream~babel-loader@7.0.0
babel-loader@8.0.5 @gerhobbelt~babel-loader@8.0.4-4
babel-minify-webpack-plugin@0.2.0 @neutrinojs~babel-minify-webpack-plugin@0.2.0
babel-plugin-add-module-exports@1.0.4 @gerhobbelt~babel-plugin-add-module-exports@0.3.3-1
babel-plugin-angularjs-annotate@0.10.0 @vendhq~babel-plugin-angularjs-annotate@0.20.0
babel-plugin-angularjs-annotate@0.9.0 @camptocamp~babel-plugin-angularjs-annotate@0.8.2
babel-plugin-component@1.1.1 @lexiang~babel-plugin-component@0.2.7
babel-plugin-component@1.1.1 @sweet-weex~babel-plugin-component@1.0.0
babel-plugin-component@1.1.1 @sweexui~babel-plugin-component@1.0.1
babel-plugin-css-modules-transform@1.4.0 @rosenblad~babel-plugin-css-modules-transform@1.4.1
babel-plugin-css-modules-transform@1.5.0 @findify~babel-plugin-css-modules-transform@2.0.3
babel-plugin-date-fns@1.0.0 @denkristoffer~babel-plugin-date-fns@0.2.1
babel-plugin-dead-code-elimination@1.0.2 @achicu~babel-plugin-dead-code-elimination@1.0.9
babel-plugin-dotenv@0.1.1 @robbie-c~babel-plugin-dotenv@0.1.1
babel-plugin-external-helpers@7.0.0-beta.3 @gerhobbelt~babel-plugin-external-helpers@7.2.1-26
babel-plugin-flow-react-proptypes@0.8.0 @somehats~babel-plugin-flow-react-proptypes@0.8.2
babel-plugin-flow-react-proptypes@5.1.2 @playlyfe~babel-plugin-flow-react-proptypes@3.4.3-patch.1
babel-plugin-graphql-tag@1.0.4 @gajus~babel-plugin-graphql-tag@1.0.0
babel-plugin-graphql-tag@2.2.0 @gqlapp~babel-plugin-graphql-tag@2.2.0
babel-plugin-graphql-tag@3.3.0 @pablosz~babel-plugin-graphql-tag@2.5.1
babel-plugin-i18next-extract@0.8.3 @sakulstra~babel-plugin-i18next-extract@0.3.0
babel-plugin-idx@2.4.0 @simplyianm~babel-plugin-idx@2.4.2
babel-plugin-import@1.13.3-beta.1 @ovos-media~babel-plugin-import@1.13.2
babel-plugin-inferno@5.0.1 @calebmer~babel-plugin-inferno@6.0.1
babel-plugin-inline-import@3.0.0 @kapmug~babel-plugin-inline-import@3.0.2
babel-plugin-inline-json-import@0.3.2 @forkit~babel-plugin-inline-json-import@0.3.2
babel-plugin-inline-react-svg@0.3.0 @skidding~babel-plugin-inline-react-svg@0.2.1
babel-plugin-inline-react-svg@0.5.2 @ianwang~babel-plugin-inline-react-svg@0.5.5
babel-plugin-inline-react-svg@1.0.1 @mingchuno~babel-plugin-inline-react-svg@1.1.0
babel-plugin-inline-react-svg@1.1.0 @oscarbarrett~babel-plugin-inline-react-svg@1.2.0-alpha.5
babel-plugin-inline-react-svg@1.1.2 @simplyianm~babel-plugin-inline-react-svg@1.2.0
babel-plugin-macros@2.7.1 @remax~babel-plugin-macros@2.7.1
babel-plugin-module-resolver@3.0.0-beta.0 @cpsubrian~babel-plugin-module-resolver@2.7.0
babel-plugin-module-resolver@3.0.0-beta.5 @cutii~babel-plugin-module-resolver@3.0.0
babel-plugin-module-resolver@3.0.0-beta.5 @fuzeman~babel-plugin-module-resolver@3.0.0-beta.5
babel-plugin-module-resolver@3.1.1 @futpib~babel-plugin-module-resolver@3.1.1
babel-plugin-module-resolver@3.1.1 @stevefan1999~babel-plugin-module-resolver@3.0.0
babel-plugin-module-resolver@4.0.0 @guidodizi~babel-plugin-module-resolver@4.1.0
babel-plugin-module-resolver@4.1.0 @sassanhe~babel-plugin-module-resolver@4.0.1
babel-plugin-named-asset-import@1.0.0-next.b0cbf2ca @1o1w1~babel-plugin-named-asset-import@0.3.2
babel-plugin-named-asset-import@1.0.0-next.b2fd8db8 @skyeer~babel-plugin-named-asset-import@0.1.2
babel-plugin-named-asset-import@1.0.0-next.fb6e6f70 @hellomouse~babel-plugin-named-asset-import@0.1.0-custom
babel-plugin-ramda@2.0.0 @jeysal~babel-plugin-ramda@2.0.1
babel-plugin-react-css-modules@2.6.0 @hylo~babel-plugin-react-css-modules@1.0.0
babel-plugin-react-css-modules@5.0.0 @demonarchy~babel-plugin-react-css-modules@3.4.4
babel-plugin-react-css-modules@5.2.6 @startupjs~babel-plugin-react-css-modules@1701.0.1
babel-plugin-react-docgen@1.2.0 @kadira~babel-plugin-react-docgen@1.1.0
babel-plugin-react-docgen@1.6.0 @jcribeiro~babel-plugin-react-docgen@1.5.3
babel-plugin-react-docgen@2.0.0-rc.1 @larsbs~babel-plugin-react-docgen@2.0.0-rc.1
babel-plugin-react-docgen@4.1.0 @hh.ru~babel-plugin-react-docgen@4.2.0
babel-plugin-react-docgen@4.1.0 @kutils~babel-plugin-react-docgen@4.1.5
babel-plugin-react-intl@2.3.1 @eposnow~babel-plugin-react-intl@2.3.1-patch1
babel-plugin-react-intl@2.4.0 @delold~babel-plugin-react-intl@2.4.0
babel-plugin-react-intl@2.4.0 @sleepwalker~babel-plugin-react-intl@2.5.1
babel-plugin-react-intl@2.4.0 @yjang~babel-plugin-react-intl@2.4.1
babel-plugin-react-intl@3.0.0 @doctoright~babel-plugin-react-intl@3.0.1
babel-plugin-react-intl@3.0.1 @atomcorp~babel-plugin-react-intl@3.0.2
babel-plugin-react-intl@5.1.18 @vtex~babel-plugin-react-intl@5.1.18
babel-plugin-react-native-web@0.14.9 @brunolemos~babel-plugin-react-native-web@0.12.0-1
babel-plugin-react-native-web@0.6.1 @arrkiin~babel-plugin-react-native-web@0.5.4
babel-plugin-react-native-web@0.6.1 @carbonhealth3~babel-plugin-react-native-web@100.0.8
babel-plugin-react-native-web@0.7.3 @kinka~babel-plugin-react-native-web@0.6.1
babel-plugin-react-native-web@0.7.3 @mwt-org~babel-plugin-react-native-web@0.7.3
babel-plugin-react-native-web@0.9.9 @hushicai~babel-plugin-react-native-web@0.9.2-rc.0
babel-plugin-react-svg@2.2.0-nightly.58aa6b3c @hakatashi~babel-plugin-react-svg@2.1.0-1
babel-plugin-react-svg@3.0.3 @korzhyk~babel-plugin-react-svg@2.2.0
babel-plugin-relay@0.0.0-master-ff78502c @frenzzy~babel-plugin-relay@9.0.0
babel-plugin-relay@1.5.0 @coral-forks~babel-plugin-relay@1.5.0-artsy.5
babel-plugin-relay@7.1.0 @onegraph~babel-plugin-relay@6.0.0-beta.1
babel-plugin-remove-graphql-queries@2.6.2 @mathieudutour~babel-plugin-remove-graphql-queries@2.6.3
babel-plugin-rewire@1.2.0-rc.1 @bhupinderbola~babel-plugin-rewire@1.2.0
babel-plugin-root-import@6.0.0 @textpress~babel-plugin-root-import@5.1.2
babel-plugin-runtime@1.0.7 @jkroso~babel-plugin-runtime@1.0.9
babel-plugin-styled-components@1.10.7 @hookydev~babel-plugin-styled-components@1.10.7-1
babel-plugin-styled-components@1.10.7 @jtomaszewski~babel-plugin-styled-components@1.10.8-beta.0
babel-plugin-styled-components@1.10.7 @robilars~babel-plugin-styled-components@1.10.9
babel-plugin-styled-components@1.10.7 @univision~babel-plugin-styled-components@1.10.9
babel-plugin-styled-components@1.12.0 @chalbert~babel-plugin-styled-components@1.12.2
babel-plugin-styled-components@1.12.0 @georgewilde~babel-plugin-styled-components@1.12.5
babel-plugin-styled-components@1.12.0 @z1digitalstudio~babel-plugin-styled-components@1.12.0-rev.1
babel-plugin-styled-components@1.5.1 @msokk~babel-plugin-styled-components@1.5.2
babel-plugin-syntax-async-generators@6.0.2 @gerhobbelt~babel-plugin-syntax-async-generators@7.2.1-26
babel-plugin-syntax-class-properties@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-class-properties@7.2.1-26
babel-plugin-syntax-decorators@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-decorators@7.2.1-26
babel-plugin-syntax-do-expressions@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-do-expressions@7.2.1-26
babel-plugin-syntax-dynamic-import@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-dynamic-import@7.2.1-26
babel-plugin-syntax-flow@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-flow@7.2.1-26
babel-plugin-syntax-function-bind@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-function-bind@7.2.1-26
babel-plugin-syntax-jsx@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-jsx@7.2.1-26
babel-plugin-syntax-object-rest-spread@7.0.0-beta.3 @gerhobbelt~babel-plugin-syntax-object-rest-spread@7.2.1-26
babel-plugin-transform-async-to-generator@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-async-to-generator@7.2.1-26
babel-plugin-transform-define@1.3.0 @jcoreio~babel-plugin-transform-define@1.2.1
babel-plugin-transform-define@1.3.1 @applications-developer~babel-plugin-transform-define@1.3.1
babel-plugin-transform-es2015-modules-commonjs@7.0.0-beta.3 @asapach~babel-plugin-transform-es2015-modules-commonjs@6.26.3
babel-plugin-transform-es2015-modules-commonjs@7.0.0-beta.3 @jacksonrayhamilton~babel-plugin-transform-es2015-modules-commonjs@6.26.0-5536f64fa
babel-plugin-transform-es2015-modules-umd@6.18.0 @zambezi~babel-plugin-transform-es2015-modules-umd@6.18.2
babel-plugin-transform-exponentiation-operator@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-exponentiation-operator@7.2.1-26
babel-plugin-transform-flow-strip-types@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-flow-strip-types@7.2.1-26
babel-plugin-transform-imports@1.1.0 @gutenye~babel-plugin-transform-imports@1.1.12
babel-plugin-transform-imports@1.5.0 @hasnat~babel-plugin-transform-imports@1.4.1
babel-plugin-transform-imports@2.0.0 @gzaripov~babel-plugin-transform-imports@2.1.0
babel-plugin-transform-jscript@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-jscript@7.2.1-26
babel-plugin-transform-member-expression-literals@6.10.0-alpha.9 @gerhobbelt~babel-plugin-transform-member-expression-literals@7.2.1-26
babel-plugin-transform-object-assign@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-object-assign@7.2.1-26
babel-plugin-transform-react-constant-elements@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-constant-elements@7.2.1-26
babel-plugin-transform-react-display-name@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-display-name@7.2.1-26
babel-plugin-transform-react-inline-elements@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-inline-elements@7.2.1-26
babel-plugin-transform-react-jsx@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-jsx@7.2.1-26
babel-plugin-transform-react-jsx-self@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-jsx-self@7.2.1-26
babel-plugin-transform-react-jsx-source@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-react-jsx-source@7.2.1-26
babel-plugin-transform-react-native-svg@4.1.0 @svgr~babel-plugin-transform-react-native-svg@5.4.0
babel-plugin-transform-react-remove-prop-types@0.2.7 @stevoland~babel-plugin-transform-react-remove-prop-types@0.2.7
babel-plugin-transform-regenerator@7.0.0-beta.3 @gerhobbelt~babel-plugin-transform-regenerator@7.2.1-26
babel-plugin-transform-strict-mode@6.0.2 @gerhobbelt~babel-plugin-transform-strict-mode@7.2.1-26
babel-plugin-transform-vue-jsx@3.5.1 @whtsky~babel-plugin-transform-vue-jsx@3.5.0-1
babel-preset@1.1.7 @shopify~babel-preset@24.0.0
babel-preset-babili@0.1.4 @pnidem~babel-preset-babili@0.1.4
babel-preset-env@1.7.0 @yued~babel-preset-env@1.6.2
babel-preset-flow@7.0.0-beta.3 @gerhobbelt~babel-preset-flow@7.2.1-26
babel-preset-gatsby@0.1.9 @mathieudutour~babel-preset-gatsby@0.1.9
babel-preset-gatsby@0.5.1 @bolt-app~babel-preset-gatsby@0.5.1-bolt.0
babel-preset-react@6.0.14 @0x0006e~babel-preset-react@1.0.6
babel-preset-react@6.0.14 @0y0~babel-preset-react@1.1.2
babel-preset-react@6.0.14 @amazee~babel-preset-react@3.4.3
babel-preset-react@6.0.14 @expressive~babel-preset-react@1.0.0-y.0
babel-preset-react@6.0.14 @ganapativs~babel-preset-react@0.0.5
babel-preset-react@6.0.14 @inst-app~babel-preset-react@1.0.4
babel-preset-react@6.0.14 @ives7~babel-preset-react@0.0.2
babel-preset-react@6.0.14 @jaredlunde~babel-preset-react@1.0.2
babel-preset-react@6.0.14 @lingui~babel-preset-react@2.9.2
babel-preset-react@6.0.14 @mobiuspace~babel-preset-react@0.1.5
babel-preset-react@6.0.14 @ovac4u~babel-preset-react@7.0.1
